Time,Suction pressure,Exhaust pressure,Motor temperature,Oil supply pressure,Outlet temperature
2021-01-02T18:17:34,203,127,143,142,542
2021-01-02T18:17:49,203,127,143,142,542
2021-01-02T18:18:03,203,127,143,142,542
2021-01-02T18:18:17,203,127,143,142,542
2021-01-02T18:18:32,203,127,143,142,542
2021-01-02T18:18:46,203,127,143,142,542
2021-01-02T18:19:01,203,127,143,142,542
2021-01-02T18:19:15,203,127,143,141,542
2021-01-02T18:19:30,203,127,143,141,542
2021-01-02T18:19:43,203,127,143,141,542
2021-01-02T18:19:58,203,127,143,142,542
2021-01-02T18:20:12,203,127,143,141,542
2021-01-02T18:20:27,203,127,143,141,542
2021-01-02T18:20:41,203,127,143,142,542
2021-01-02T18:20:55,203,127,143,142,542
2021-01-02T18:21:10,203,127,143,141,542
2021-01-02T18:21:25,203,127,143,141,542
2021-01-02T18:21:39,203,127,143,141,542
2021-01-02T18:21:53,203,127,143,141,542
2021-01-02T18:22:08,203,127,143,141,543
2021-01-02T18:22:22,203,127,143,141,543
2021-01-02T18:22:36,203,127,143,142,543
2021-01-02T18:22:50,203,127,143,141,543
2021-01-02T18:23:05,203,126,143,141,543
2021-01-02T18:23:19,203,127,143,141,543
2021-01-02T18:23:33,203,127,143,141,543
2021-01-02T18:23:48,203,127,143,141,543
2021-01-02T18:24:02,203,127,143,141,543
2021-01-02T18:24:17,203,126,143,141,543
2021-01-02T18:24:31,203,127,142,141,543
2021-01-02T18:24:46,203,127,142,141,543
2021-01-02T18:24:59,203,127,143,141,543
2021-01-02T18:25:14,203,127,142,141,542
2021-01-02T18:25:28,203,127,142,141,542
2021-01-02T18:25:43,203,126,142,141,542
2021-01-02T18:25:57,203,126,142,141,542
2021-01-02T18:26:11,203,126,142,141,542
2021-01-02T18:26:25,203,126,142,141,542
2021-01-02T18:26:40,203,126,142,141,542
2021-01-02T18:26:54,203,126,142,141,542
2021-01-02T18:27:09,203,127,142,141,542
2021-01-02T18:27:23,203,126,142,141,542
2021-01-02T18:27:38,203,127,142,141,542
2021-01-02T18:27:52,203,126,142,141,542
2021-01-02T18:28:06,203,126,142,141,542
2021-01-02T18:28:21,203,126,142,141,542
2021-01-02T18:28:36,203,127,142,141,542
2021-01-02T18:28:50,203,127,142,141,542
2021-01-02T18:29:04,203,126,142,141,542
2021-01-02T18:29:18,203,127,142,141,541
2021-01-02T18:29:32,203,127,142,141,541
2021-01-02T18:29:46,203,127,142,141,541
2021-01-02T18:30:01,203,126,142,141,541
2021-01-02T18:30:16,203,127,142,141,541
2021-01-02T18:30:30,203,127,142,141,541
2021-01-02T18:30:44,203,127,142,141,541
2021-01-02T18:30:59,203,127,142,141,541
2021-01-02T18:31:13,203,126,142,141,541
2021-01-02T18:31:28,203,126,142,141,541
2021-01-02T18:31:42,203,126,142,141,541
2021-01-02T18:31:57,203,126,142,141,541
2021-01-02T18:32:10,203,127,142,141,541
2021-01-02T18:32:25,203,127,142,141,540
2021-01-02T18:32:39,203,126,142,141,540
2021-01-02T18:32:54,203,126,142,141,540
2021-01-02T18:33:08,203,126,142,141,540
2021-01-02T18:33:23,203,126,142,141,540
2021-01-02T18:33:37,203,126,142,141,540
2021-01-02T18:33:51,202,126,142,141,540
2021-01-02T18:34:06,202,126,142,141,540
2021-01-02T18:34:21,202,126,142,141,540
2021-01-02T18:34:35,202,126,142,141,540
2021-01-02T18:34:49,202,126,142,141,540
2021-01-02T18:35:04,202,126,142,141,539
2021-01-02T18:35:17,202,126,142,141,539
2021-01-02T18:35:32,202,126,142,141,539
2021-01-02T18:35:46,202,126,142,140,539
2021-01-02T18:36:01,202,126,142,140,539
2021-01-02T18:36:15,202,126,142,140,539
2021-01-02T18:36:30,202,125,142,140,539
2021-01-02T18:36:44,202,125,142,140,539
2021-01-02T18:36:58,201,125,142,140,539
2021-01-02T18:37:13,202,125,142,140,539
2021-01-02T18:37:27,201,125,142,140,539
2021-01-02T18:37:42,201,125,142,140,539
2021-01-02T18:37:56,201,125,142,140,539
2021-01-02T18:38:10,201,125,142,140,539
2021-01-02T18:38:24,201,125,142,140,539
2021-01-02T18:38:39,201,125,142,140,539
2021-01-02T18:38:53,201,125,142,140,539
2021-01-02T18:39:07,201,125,142,140,538
2021-01-02T18:39:22,201,125,142,140,538
2021-01-02T18:39:36,201,125,142,140,538
2021-01-02T18:39:50,201,125,142,140,538
2021-01-02T18:40:05,201,125,142,140,538
2021-01-02T18:40:20,200,125,142,139,538
2021-01-02T18:40:34,200,125,142,139,538
2021-01-02T18:40:48,200,124,142,139,538
2021-01-02T18:41:03,200,124,142,139,538
2021-01-02T18:41:17,200,124,142,139,538
2021-01-02T18:41:31,199,124,142,139,538
2021-01-02T18:41:46,199,124,142,139,538
2021-01-02T18:42:00,199,123,142,139,538
2021-01-02T18:42:14,199,123,142,139,538
2021-01-02T18:42:29,199,123,142,139,538
2021-01-02T18:42:43,199,123,142,139,538
2021-01-02T18:42:58,199,123,142,139,538
2021-01-02T18:43:12,199,123,142,138,537
2021-01-02T18:43:27,199,123,142,139,537
2021-01-02T18:43:41,199,123,142,139,537
2021-01-02T18:43:55,199,123,142,139,537
2021-01-02T18:44:10,199,123,142,139,537
2021-01-02T18:44:24,199,123,142,139,537
2021-01-02T18:44:38,199,123,141,139,537
2021-01-02T18:44:53,199,123,141,139,537
2021-01-02T18:45:07,199,123,141,138,537
2021-01-02T18:45:21,199,123,141,139,537
2021-01-02T18:45:36,199,123,141,139,537
2021-01-02T18:45:51,199,123,141,139,537
2021-01-02T18:46:05,199,123,141,139,537
2021-01-02T18:46:19,199,123,141,139,536
2021-01-02T18:46:34,198,123,141,139,536
2021-01-02T18:46:48,198,123,141,138,536
2021-01-02T18:47:02,198,123,141,138,536
2021-01-02T18:47:17,198,123,141,138,536
2021-01-02T18:47:32,198,123,141,138,536
2021-01-02T18:47:45,198,123,141,138,536
2021-01-02T18:47:59,198,123,141,138,536
2021-01-02T18:48:14,198,123,141,138,536
2021-01-02T18:48:28,198,123,141,138,536
2021-01-02T18:48:43,198,123,141,138,536
2021-01-02T18:48:57,198,123,141,138,536
2021-01-02T18:49:11,198,123,141,138,536
2021-01-02T18:49:26,198,123,141,138,536
2021-01-02T18:49:40,198,122,141,138,535
2021-01-02T18:49:54,198,123,141,138,535
2021-01-02T18:50:09,198,122,141,138,535
2021-01-02T18:50:23,198,122,141,138,535
2021-01-02T18:50:38,198,122,141,138,535
2021-01-02T18:50:51,198,122,141,138,535
2021-01-02T18:51:06,197,122,141,138,535
2021-01-02T18:51:20,197,122,141,138,535
2021-01-02T18:51:35,197,123,141,138,535
2021-01-02T18:51:49,197,122,141,138,535
2021-01-02T18:52:04,197,122,141,138,535
2021-01-02T18:52:18,197,122,141,138,535
2021-01-02T18:52:32,197,122,141,138,535
2021-01-02T18:52:47,198,122,141,138,535
2021-01-02T18:53:02,198,122,141,138,535
2021-01-02T18:53:16,198,122,141,138,534
2021-01-02T18:53:30,198,122,141,138,534
2021-01-02T18:53:45,198,122,141,138,534
2021-01-02T18:53:58,198,122,141,138,534
2021-01-02T18:54:13,198,122,141,138,534
2021-01-02T18:54:28,198,122,141,138,534
2021-01-02T18:54:42,198,122,141,138,534
2021-01-02T18:54:56,198,122,141,138,534
2021-01-02T18:55:11,197,122,141,138,534
2021-01-02T18:55:25,197,122,141,137,534
2021-01-02T18:55:39,197,122,141,138,534
2021-01-02T18:55:54,197,122,141,138,534
2021-01-02T18:56:09,197,122,141,138,534
2021-01-02T18:56:23,197,122,141,138,534
2021-01-02T18:56:37,197,122,141,138,534
2021-01-02T18:56:52,197,122,141,138,534
2021-01-02T18:57:05,197,122,141,137,533
2021-01-02T18:57:20,197,122,141,137,533
2021-01-02T18:57:34,197,122,141,138,533
2021-01-02T18:57:48,197,122,141,137,533
2021-01-02T18:58:03,197,122,141,137,533
2021-01-02T18:58:17,197,122,141,137,533
2021-01-02T18:58:31,197,122,140,137,533
2021-01-02T18:58:46,197,122,140,137,533
2021-01-02T18:59:01,197,122,140,137,533
2021-01-02T18:59:15,197,122,140,137,533
2021-01-02T18:59:29,197,122,140,137,533
2021-01-02T18:59:44,197,122,140,137,533
2021-01-02T18:59:58,197,122,140,137,533
2021-01-02T19:00:12,197,122,140,137,532
2021-01-02T19:00:26,197,122,140,137,532
2021-01-02T19:00:41,197,122,140,137,532
2021-01-02T19:00:55,197,122,140,137,532
2021-01-02T19:01:09,197,122,140,137,532
2021-01-02T19:01:24,197,122,140,137,532
2021-01-02T19:01:39,197,122,140,137,532
2021-01-02T19:01:53,197,122,140,137,532
2021-01-02T19:02:07,197,122,140,137,532
2021-01-02T19:02:22,197,122,140,137,532
2021-01-02T19:02:36,197,122,140,137,532
2021-01-02T19:02:50,197,122,140,137,532
2021-01-02T19:03:05,197,122,140,137,532
2021-01-02T19:03:18,197,122,140,137,532
2021-01-02T19:03:33,197,122,140,137,532
2021-01-02T19:03:47,197,121,140,137,532
2021-01-02T19:04:02,196,122,140,137,532
2021-01-02T19:04:16,196,121,140,137,532
2021-01-02T19:04:31,196,121,140,137,531
2021-01-02T19:04:45,196,121,140,137,531
2021-01-02T19:04:59,196,121,140,137,531
2021-01-02T19:05:14,196,121,140,137,531
2021-01-02T19:05:28,196,121,140,137,531
2021-01-02T19:05:42,196,121,140,137,531
2021-01-02T19:05:57,196,122,140,137,531
2021-01-02T19:06:12,196,121,140,137,531
2021-01-02T19:06:25,196,121,140,137,531
2021-01-02T19:06:40,196,121,140,137,531
2021-01-02T19:06:54,196,121,140,137,531
2021-01-02T19:07:08,196,121,140,137,531
2021-01-02T19:07:23,196,122,140,137,531
2021-01-02T19:07:38,196,121,140,137,531
2021-01-02T19:07:52,196,121,140,137,531
2021-01-02T19:08:06,196,121,140,137,531
2021-01-02T19:08:21,196,121,140,136,531
2021-01-02T19:08:35,196,121,140,137,531
2021-01-02T19:08:50,196,121,140,136,531
2021-01-02T19:09:04,196,121,140,136,532
2021-01-02T19:09:19,196,121,140,136,532
2021-01-02T19:09:32,196,121,140,136,532
2021-01-02T19:09:47,196,121,140,136,532
2021-01-02T19:10:01,196,121,140,136,532
2021-01-02T19:10:16,196,121,140,136,532
2021-01-02T19:10:30,196,121,140,136,532
2021-01-02T19:10:44,196,121,140,136,532
2021-01-02T19:10:59,196,121,140,136,532
2021-01-02T19:11:13,196,121,139,136,532
2021-01-02T19:11:28,196,121,139,136,532
2021-01-02T19:11:42,195,121,139,136,532
2021-01-02T19:11:57,195,121,139,136,532
2021-01-02T19:12:11,195,120,139,136,532
2021-01-02T19:12:25,195,121,139,136,532
2021-01-02T19:12:39,195,120,139,136,532
2021-01-02T19:12:53,195,120,139,136,532
2021-01-02T19:13:08,195,120,139,136,532
2021-01-02T19:13:22,195,120,139,136,532
2021-01-02T19:13:37,195,120,139,136,532
2021-01-02T19:13:51,195,120,139,136,532
2021-01-02T19:14:05,195,120,139,136,532
2021-01-02T19:14:20,195,120,139,136,532
2021-01-02T19:14:35,195,120,139,136,532
2021-01-02T19:14:49,195,120,139,136,532
2021-01-02T19:15:03,195,120,139,136,532
2021-01-02T19:15:18,195,120,139,136,532
2021-01-02T19:15:32,195,120,139,136,533
2021-01-02T19:15:46,195,120,139,136,533
2021-01-02T19:16:01,195,120,139,136,533
2021-01-02T19:16:15,195,120,139,136,533
2021-01-02T19:16:29,195,120,139,136,533
2021-01-02T19:16:44,195,120,139,136,533
2021-01-02T19:16:58,195,120,139,136,533
2021-01-02T19:17:12,194,120,139,136,533
2021-01-02T19:17:27,194,120,139,136,533
2021-01-02T19:17:42,194,120,139,136,533
2021-01-02T19:17:56,194,120,139,136,533
2021-01-02T19:18:10,194,120,139,136,533
2021-01-02T19:18:25,194,120,139,135,533
2021-01-02T19:18:39,194,120,139,136,533
2021-01-02T19:18:53,194,120,139,136,533
2021-01-02T19:19:07,194,120,139,135,533
2021-01-02T19:19:22,194,119,139,135,533
2021-01-02T19:19:36,194,120,139,135,533
2021-01-02T19:19:51,194,120,139,135,533
2021-01-02T19:20:05,194,119,139,135,533
2021-01-02T19:20:20,194,119,139,135,533
2021-01-02T19:20:34,194,120,139,135,533
2021-01-02T19:20:48,194,119,139,135,533
2021-01-02T19:21:03,194,119,139,136,533
2021-01-02T19:21:17,194,119,139,135,533
2021-01-02T19:21:31,194,119,139,135,533
2021-01-02T19:21:46,194,119,139,135,533
2021-01-02T19:22:00,194,119,139,135,533
2021-01-02T19:22:14,194,119,139,135,533
2021-01-02T19:22:28,194,119,139,136,533
2021-01-02T19:22:43,194,119,139,135,533
2021-01-02T19:22:57,194,119,139,135,533
2021-01-02T19:23:12,194,119,139,135,533
2021-01-02T19:23:26,194,119,139,135,533
2021-01-02T19:23:41,194,119,139,135,533
2021-01-02T19:23:55,194,119,138,135,533
2021-01-02T19:24:09,194,119,138,135,533
2021-01-02T19:24:24,194,119,138,135,533
2021-01-02T19:24:39,194,119,138,135,533
2021-01-02T19:24:53,194,119,138,135,533
2021-01-02T19:25:07,194,119,138,135,533
2021-01-02T19:25:21,194,119,138,135,533
2021-01-02T19:25:35,194,119,138,135,533
2021-01-02T19:25:50,194,120,138,135,533
2021-01-02T19:26:04,194,119,138,135,533
2021-01-02T19:26:19,194,120,138,135,533
2021-01-02T19:26:33,194,120,138,135,533
2021-01-02T19:26:48,194,120,138,135,533
2021-01-02T19:27:02,194,120,138,135,533
2021-01-02T19:27:16,194,120,138,135,533
2021-01-02T19:27:31,194,120,138,135,533
2021-01-02T19:27:45,194,120,138,135,533
2021-01-02T19:28:00,194,120,138,135,533
2021-01-02T19:28:13,194,119,138,135,533
2021-01-02T19:28:27,194,119,138,135,534
2021-01-02T19:28:42,194,119,138,135,534
2021-01-02T19:28:57,194,119,138,135,534
2021-01-02T19:29:11,194,120,138,135,534
2021-01-02T19:29:25,194,119,138,135,534
2021-01-02T19:29:40,194,119,138,135,534
2021-01-02T19:29:54,194,119,138,135,534
2021-01-02T19:30:08,194,119,138,135,534
2021-01-02T19:30:23,194,119,138,135,534
2021-01-02T19:30:38,194,119,138,135,534
2021-01-02T19:30:52,193,119,138,135,534
2021-01-02T19:31:06,193,119,138,135,534
2021-01-02T19:31:19,193,119,138,135,534
2021-01-02T19:31:34,193,119,138,135,534
2021-01-02T19:31:49,193,119,138,135,534
2021-01-02T19:32:03,194,119,138,135,534
2021-01-02T19:32:17,194,119,138,135,534
2021-01-02T19:32:32,194,119,138,135,534
2021-01-02T19:32:46,194,119,138,135,534
2021-01-02T19:33:00,193,119,138,135,534
2021-01-02T19:33:15,193,119,138,135,534
2021-01-02T19:33:30,193,119,138,135,534
2021-01-02T19:33:44,193,119,138,135,534
2021-01-02T19:33:58,193,119,138,135,534
2021-01-02T19:34:13,193,119,138,134,534
2021-01-02T19:34:26,193,119,138,135,534
2021-01-02T19:34:41,193,119,138,134,534
2021-01-02T19:34:55,193,119,138,134,534
2021-01-02T19:35:10,193,119,138,134,534
2021-01-02T19:35:24,193,119,138,134,534
2021-01-02T19:35:38,193,119,138,134,534
2021-01-02T19:35:53,193,119,138,134,534
2021-01-02T19:36:08,193,119,138,134,534
2021-01-02T19:36:22,193,119,138,134,534
2021-01-02T19:36:36,193,119,138,134,534
2021-01-02T19:36:50,193,119,138,134,534
2021-01-02T19:37:04,193,119,138,134,534
2021-01-02T19:37:19,193,119,137,134,534
2021-01-02T19:37:33,193,119,137,134,534
2021-01-02T19:37:47,193,118,137,134,534
2021-01-02T19:38:01,193,118,137,134,534
2021-01-02T19:38:16,193,119,137,134,534
2021-01-02T19:38:30,193,119,137,134,534
2021-01-02T19:38:44,193,118,137,134,534
2021-01-02T19:38:59,193,118,137,134,534
2021-01-02T19:39:14,193,119,137,134,534
2021-01-02T19:39:28,193,119,137,134,534
2021-01-02T19:39:42,193,118,137,134,534
2021-01-02T19:39:57,193,118,137,134,534
2021-01-02T19:40:11,193,118,137,134,534
2021-01-02T19:40:26,192,118,137,134,534
2021-01-02T19:40:40,192,118,137,134,534
2021-01-02T19:40:54,192,118,137,134,534
2021-01-02T19:41:09,192,118,137,134,534
2021-01-02T19:41:23,192,118,137,134,534
2021-01-02T19:41:37,192,118,137,134,534
2021-01-02T19:41:52,192,118,137,134,534
2021-01-02T19:42:07,192,118,137,134,534
2021-01-02T19:42:21,192,118,137,134,534
2021-01-02T19:42:35,192,118,137,134,534
2021-01-02T19:42:50,192,118,137,134,534
2021-01-02T19:43:04,192,118,137,134,534
2021-01-02T19:43:19,192,118,137,134,534
2021-01-02T19:43:33,192,118,137,133,534
2021-01-02T19:43:47,192,118,137,133,534
2021-01-02T19:44:01,191,118,137,133,534
2021-01-02T19:44:15,191,117,137,133,534
2021-01-02T19:44:30,191,117,137,133,534
2021-01-02T19:44:45,191,117,137,133,534
2021-01-02T19:44:59,191,117,137,133,534
2021-01-02T19:45:13,191,117,137,133,534
2021-01-02T19:45:28,191,117,137,133,534
2021-01-02T19:45:42,191,117,137,133,534
2021-01-02T19:45:56,190,117,137,133,534
2021-01-02T19:46:11,190,117,137,133,534
2021-01-02T19:46:26,190,117,137,133,534
2021-01-02T19:46:40,190,117,137,132,534
2021-01-02T19:46:53,190,116,137,132,534
2021-01-02T19:47:08,189,116,137,132,534
2021-01-02T19:47:22,189,116,137,132,534
2021-01-02T19:47:37,189,116,137,132,534
2021-01-02T19:47:51,189,116,137,132,534
2021-01-02T19:48:06,189,115,136,132,534
2021-01-02T19:48:20,189,115,136,132,534
2021-01-02T19:48:34,188,115,136,131,534
2021-01-02T19:48:49,188,115,136,131,534
2021-01-02T19:49:04,188,115,136,131,534
2021-01-02T19:49:18,188,115,136,131,534
2021-01-02T19:49:32,188,114,136,131,534
2021-01-02T19:49:47,187,114,136,131,534
2021-01-02T19:50:00,187,114,136,131,534
2021-01-02T19:50:15,187,114,136,130,534
2021-01-02T19:50:29,187,114,136,130,534
2021-01-02T19:50:44,187,114,136,130,534
2021-01-02T19:50:58,187,114,136,130,534
2021-01-02T19:51:12,187,114,136,130,534
2021-01-02T19:51:27,187,114,136,130,534
2021-01-02T19:51:41,187,114,136,130,534
2021-01-02T19:51:56,187,114,136,130,534
